stamp_sec,d_origin_m,det_box_m,det_horizon_m,odom_dt_sec,fy_px,horizon_row_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cls,score
1756104621.314612,48.052069,45.833333,47.965116,0.024558,550.000,315,139,328,169,358,GuardBoat,0.896321
1756104621.378029,48.229381,45.833333,47.965116,0.002049,550.000,315,140,328,169,358,GuardBoat,0.898676
1756104621.430180,48.414205,45.833333,47.965116,0.049921,550.000,315,140,328,169,358,GuardBoat,0.898659
1756104621.485492,48.414205,45.833333,47.965116,0.005391,550.000,315,140,328,169,358,GuardBoat,0.897348
1756104621.528947,48.414205,45.833333,47.965116,0.048846,550.000,315,140,328,169,358,GuardBoat,0.895554
1756104621.581580,48.619025,47.413793,49.107143,0.008545,550.000,315,141,328,169,357,GuardBoat,0.895108
1756104621.626005,48.619025,47.413793,49.107143,0.035880,550.000,315,140,328,170,357,GuardBoat,0.895104
1756104621.691161,48.783877,47.413793,49.107143,0.011013,550.000,315,140,328,170,357,GuardBoat,0.895204
1756104621.738453,48.971194,47.413793,49.107143,0.041718,550.000,315,140,328,170,357,GuardBoat,0.895890
1756104621.838285,49.156045,47.413793,49.107143,0.041910,550.000,315,141,328,170,357,GuardBoat,0.896218
1756104621.912268,49.156045,47.413793,49.107143,0.032073,550.000,315,141,328,170,357,GuardBoat,0.897229
1756104621.952121,49.360898,49.107143,50.304878,0.037097,550.000,315,141,328,170,356,GuardBoat,0.897316
1756104622.017148,49.360898,47.413793,50.304878,0.027930,550.000,315,141,327,170,356,GuardBoat,0.892426
1756104622.050588,49.555765,49.107143,50.304878,0.038654,550.000,315,141,328,171,356,GuardBoat,0.895122
